Region,date,Beans,Rice
Geita,2025-05-14,3100.0,2400.0
Geita,2025-06-04,2800.0,2300.0
Geita,2025-06-18,2800.0,2000.0
Geita,2025-06-25,3100.0,2200.0
Geita,2025-07-23,3100.0,2300.0
Geita,2025-08-06,2900.0,2200.0
Geita,2025-08-20,3300.0,2100.0
Geita,2025-08-27,3200.0,2200.0
Geita,2025-09-03,3300.0,2300.0
Geita,2025-09-10,3300.0,2300.0
Geita,2025-09-17,2400.0,2400.0
Geita,2025-09-24,3200.0,2300.0
Geita,2025-10-15,3200.0,2200.0
Geita,2025-11-05,3200.0,2800.0
Geita,2025-11-12,3200.0,2800.0
Geita,2025-12-17,3200.0,2800.0
Geita,2026-02-11,2200.0,2700.0
Geita,2026-02-18,2200.0,2700.0
Geita,2026-03-04,2200.0,2700.0
Geita,2026-03-11,2200.0,2700.0
Geita,2026-03-25,2200.0,2600.0
Geita,2026-05-06,2200.0,2300.0
Iringa,2024-08-21,2500.0,1500.0
Iringa,2024-12-18,2900.0,2000.0
Iringa,2025-01-13,3000.0,2000.0
Iringa,2025-02-05,3000.0,2700.0
Iringa,2025-02-12,2900.0,2600.0
Iringa,2025-02-19,2900.0,2400.0
Iringa,2025-02-26,2900.0,2600.0
Iringa,2025-03-05,2900.0,2400.0
Iringa,2025-03-12,2900.0,2600.0
Iringa,2025-03-26,2800.0,2800.0
Iringa,2025-05-07,2700.0,2400.0
Iringa,2025-05-14,2800.0,2400.0
Iringa,2025-05-21,2700.0,2300.0
Iringa,2025-05-28,2500.0,2300.0
Iringa,2025-06-04,2800.0,2300.0
Iringa,2025-06-11,2700.0,2200.0
Iringa,2025-06-18,2800.0,2300.0
Iringa,2025-06-25,2700.0,2200.0
Iringa,2025-07-23,2500.0,2300.0
Iringa,2025-08-06,2500.0,2300.0
Iringa,2025-08-13,2500.0,2300.0
Iringa,2025-08-20,2500.0,2300.0
Iringa,2025-08-27,2500.0,2400.0
Iringa,2025-09-03,2500.0,2300.0
Iringa,2025-09-10,2400.0,2300.0
Iringa,2025-09-17,2400.0,2300.0
Iringa,2025-10-22,2400.0,2400.0
Iringa,2025-11-05,2300.0,2500.0
Iringa,2025-11-12,2300.0,2400.0
Iringa,2025-11-19,2300.0,2500.0
Iringa,2025-11-26,2300.0,2500.0
Iringa,2026-01-07,2400.0,2800.0
Iringa,2026-01-14,2400.0,2800.0
Iringa,2026-01-21,2400.0,2700.0
Iringa,2026-01-28,2400.0,2800.0
Iringa,2026-02-04,2400.0,2800.0
Iringa,2026-02-11,2400.0,2800.0
Iringa,2026-02-18,2400.0,2800.0
Iringa,2026-02-25,2400.0,2800.0
Iringa,2026-03-04,2400.0,2800.0
Iringa,2026-03-11,2200.0,2800.0
Iringa,2026-03-18,2300.0,2800.0
Iringa,2026-03-25,2400.0,2800.0
Iringa,2026-04-08,2400.0,2800.0
Iringa,2026-04-15,2300.0,2800.0
Iringa,2026-04-22,2200.0,2800.0
Kagera,2024-08-21,2100.0,2200.0
Kagera,2024-12-04,2100.0,2300.0
Kagera,2024-12-18,2200.0,2300.0
Kagera,2024-12-25,2200.0,2200.0
Kagera,2025-01-08,2500.0,2300.0
Kagera,2025-01-15,2800.0,1800.0
Kagera,2025-01-22,2600.0,2300.0
Kagera,2025-02-05,2200.0,2200.0
Kagera,2025-02-12,2200.0,2200.0
Kagera,2025-02-19,2500.0,1900.0
Kagera,2025-03-05,2200.0,2200.0
Kagera,2025-03-12,2300.0,2200.0
Kagera,2025-03-26,2200.0,2300.0
Kagera,2025-05-14,2300.0,2300.0
Kagera,2025-06-04,2300.0,2200.0
Kagera,2025-06-18,2300.0,2300.0
Kagera,2025-06-25,2200.0,2200.0
Kagera,2025-07-23,2100.0,1700.0
Kagera,2025-08-06,2100.0,2000.0
Kagera,2025-08-13,1900.0,
Kagera,2025-08-20,2200.0,2300.0
Kagera,2025-08-27,2200.0,2300.0
Kagera,2025-09-03,2200.0,2000.0
Kagera,2025-09-10,2200.0,2300.0
Kagera,2025-09-17,2200.0,2300.0
Kagera,2025-09-24,2200.0,2300.0
Kagera,2025-11-05,2200.0,2400.0
Kagera,2025-11-12,2200.0,2400.0
Kagera,2026-02-11,2000.0,2400.0
Kagera,2026-02-18,1900.0,2400.0
Kagera,2026-03-04,1900.0,2500.0
Kagera,2026-03-11,1900.0,2500.0
Kagera,2026-03-18,2000.0,2500.0
Kagera,2026-03-25,2000.0,2500.0
Kagera,2026-05-06,2000.0,2700.0
Katavi,2024-08-21,2600.0,2100.0
Katavi,2024-12-18,2800.0,1400.0
Katavi,2025-02-19,2500.0,2000.0
Katavi,2025-03-05,2600.0,2000.0
Katavi,2025-03-26,2600.0,2000.0
Katavi,2025-04-09,2500.0,2100.0
Katavi,2025-06-04,2900.0,2000.0
