Region,date,crop,price_tzs_per_kg,source_pdf,source_url
Mbeya,2024-08-21,Beans,2300,sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf
Mbeya,2024-08-21,Rice,1700,sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf
Morogoro,2024-08-21,Beans,2800,sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf
Morogoro,2024-08-21,Rice,1700,sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf
Mtwara,2024-08-21,Beans,3100,sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf
Mtwara,2024-08-21,Rice,3000,sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf
Mwanza,2024-08-21,Beans,2500,sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf
Mwanza,2024-08-21,Rice,2100,sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf
Njombe,2024-08-21,Beans,2100,sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf
Njombe,2024-08-21,Rice,1900,sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf
Pwani,2024-08-21,Beans,2900,sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf
Pwani,2024-08-21,Rice,2000,sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf
Rukwa,2024-08-21,Beans,2300,sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf
Rukwa,2024-08-21,Rice,1600,sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf
Ruvuma,2024-08-21,Beans,1900,sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf
Ruvuma,2024-08-21,Rice,2100,sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf
Shinyanga,2024-08-21,Beans,2400,sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf
Shinyanga,2024-08-21,Rice,1400,sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf
Simiyu,2024-08-21,Beans,2800,sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf
Simiyu,2024-08-21,Rice,1500,sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf
Singida,2024-08-21,Beans,2400,sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf
Singida,2024-08-21,Rice,2100,sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf
Songwe,2024-08-21,Beans,2000,sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf
Songwe,2024-08-21,Rice,1700,sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf
Tabora,2024-08-21,Rice,1400,sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf
Tanga,2024-08-21,Beans,2400,sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf
Tanga,2024-08-21,Rice,1600,sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf
Kagera,2024-12-04,Beans,2100,sw-1733682725-Mwenendo wa Bei za Mazao tarehe 02-06 Desemba 2024..pdf,https://www.kilimo.go.tz/uploads/documents/sw-1733682725-Mwenendo wa Bei za Mazao tarehe 02-06 Desemba 2024..pdf
